Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Sunday 24 March,Queensland Firebirds,68 - 59,Southern Steel,68,59,9,2,0,Brisbane Convention and Exhibition Centre,
1,Sunday 24 March,Adelaide Thunderbirds,49 - 42,Central Pulse,49,42,7,2,0,"Netball SA Stadium, Adelaide",
1,Sunday 24 March,Canterbury Tactix,46 - 69,Waikato Bay of Plenty Magic,46,69,23,0,2,"Trafalgar Centre, Nelson",
1,Monday 25 March,Northern Mystics,46 - 60,Melbourne Vixens,46,60,14,0,2,"Trusts Stadium, Auckland",
1,Monday 25 March,New South Wales Swifts,55 - 41,West Coast Fever,55,41,14,2,0,"State Sports Centre, Sydney",
2,Saturday 30 March,Canterbury Tactix,56 - 75,Southern Steel,56,75,19,0,2,"CBS Canterbury Arena, Christchurch",
2,Sunday 31 March,Melbourne Vixens,58 - 44,Adelaide Thunderbirds,58,44,14,2,0,"Hisense Arena, Melbourne",
2,Sunday 31 March,West Coast Fever,80 - 53,Northern Mystics,80,53,27,2,0,"Challenge Stadium, Perth",
2,Sunday 31 March,Waikato Bay of Plenty Magic,61 - 35,New South Wales Swifts,61,35,26,2,0,"ASB Baypark Arena, Tauranga",
2,Monday 1 April,Central Pulse,56 - 58,Queensland Firebirds,56,58,2,0,2,"Te Rauparaha Arena, Porirua",
3,Saturday 6 April,Southern Steel,54 - 60,Adelaide Thunderbirds,54,60,6,0,2,"Lion Foundation Arena, Dunedin",
3,Sunday 7 April,West Coast Fever,57 - 51,Waikato Bay of Plenty Magic,57,51,6,2,0,"Challenge Stadium, Perth",
3,Sunday 7 April,Northern Mystics,51 - 72,Queensland Firebirds,51,72,21,0,2,"Trusts Stadium, Auckland",
3,Monday 8 April,Central Pulse,55 - 49,New South Wales Swifts,55,49,6,2,0,"TSB Bank Arena, Wellington",
3,Monday 8 April,Melbourne Vixens,60 - 40,Canterbury Tactix,60,40,20,2,0,"Hisense Arena, Melbourne",
4,Sunday 14 April,Adelaide Thunderbirds,72 - 46,West Coast Fever,72,46,26,2,0,"Netball SA Stadium, Adelaide",
4,Sunday 14 April,Central Pulse,59 - 56,Southern Steel,59,56,3,2,0,"Arena Manawatu, Palmerston North",
4,Monday 15 April,Canterbury Tactix,80 - 78,Northern Mystics,80,78,2,2,0,"CBS Canterbury Arena, Christchurch",
4,Monday 15 April,New South Wales Swifts,53 - 61,Queensland Firebirds,53,61,8,0,2,Sydney Olympic Park Sports Centre,
4,,,,,,,,,,,Melbourne Vixens
4,,,,,,,,,,,Waikato Bay of Plenty Magic
5,Sunday 21 April,Adelaide Thunderbirds,39 - 38,Melbourne Vixens,39,38,1,2,0,"Netball SA Stadium, Adelaide",
5,Sunday 21 April,West Coast Fever,71 - 51,New South Wales Swifts,71,51,20,2,0,"Challenge Stadium, Perth",
5,Sunday 21 April,Northern Mystics,69 - 68,Central Pulse,69,68,1,2,0,"Trusts Stadium, Auckland",
5,Monday 22 April,Waikato Bay of Plenty Magic,65 - 45,Canterbury Tactix,65,45,20,2,0,"ASB Baypark Arena, Tauranga",
5,,,,,,,,,,,Queensland Firebirds
5,,,,,,,,,,,Southern Steel
6,Saturday 27 April,West Coast Fever,49 - 58,Melbourne Vixens,49,58,9,0,2,"Perth Arena, Perth",
6,Sunday 28 April,Queensland Firebirds,53 - 54,Adelaide Thunderbirds,53,54,1,0,2,Brisbane Convention and Exhibition Centre,
6,Sunday 28 April,Central Pulse,53 - 52,Waikato Bay of Plenty Magic,53,52,1,2,0,"TSB Bank Arena, Wellington",
6,Monday 29 April,Southern Steel,67 - 52,Northern Mystics,67,52,15,2,0,"Stadium Southland Velodrome,Invercargill",
6,,,,,,,,,,,New South Wales Swifts
6,,,,,,,,,,,Canterbury Tactix
7,Sunday 5 May,Queensland Firebirds,63 - 54,West Coast Fever,63,54,9,2,0,Brisbane Convention and Exhibition Centre,
7,Sunday 5 May,Melbourne Vixens,52 - 30,Central Pulse,52,30,22,2,0,"Hisense Arena, Melbourne",
7,Sunday 5 May,Northern Mystics,57 - 61,Canterbury Tactix,57,61,4,0,2,"Trusts Stadium, Auckland",
7,Monday 6 May,Southern Steel,60 - 55,New South Wales Swifts,60,55,5,2,0,"Stadium Southland Velodrome,Invercargill",
7,Monday 6 May,Adelaide Thunderbirds,45 - 33,Waikato Bay of Plenty Magic,45,33,12,2,0,"Netball SA Stadium, Adelaide",
8,Saturday 11 May,Canterbury Tactix,51 - 76,Queensland Firebirds,51,76,25,0,2,"CBS Canterbury Arena, Christchurch",
8,Sunday 12 May,New South Wales Swifts,42 - 50,Melbourne Vixens,42,50,8,0,2,Sydney Olympic Park Sports Centre,
8,Sunday 12 May,West Coast Fever,47 - 49,Adelaide Thunderbirds,47,49,2,0,2,"Challenge Stadium, Perth",
8,Sunday 12 May,Northern Mystics,63 - 73,Southern Steel,63,73,10,0,2,"Trusts Stadium, Auckland",
8,Monday 13 May,Waikato Bay of Plenty Magic,53 - 49,Central Pulse,53,49,4,2,0,"Claudelands Arena, Hamilton",
9,Saturday 18 May,Southern Steel,65 - 58,Waikato Bay of Plenty Magic,65,58,7,2,0,"Stadium Southland Velodrome,Invercargill",
9,Sunday 19 May,Melbourne Vixens,46 - 57,Queensland Firebirds,46,57,11,0,2,"Hisense Arena, Melbourne",
9,Sunday 19 May,Adelaide Thunderbirds,50 - 48,New South Wales Swifts,50,48,2,2,0,"Netball SA Stadium, Adelaide",
9,Sunday 19 May,Canterbury Tactix,55 - 64,West Coast Fever,55,64,9,0,2,"Trafalgar Centre, Nelson",
9,Monday 20 May,Central Pulse,63 - 48,Northern Mystics,63,48,15,2,0,"Te Rauparaha Arena, Porirua",
10,Sunday 26 May,New South Wales Swifts,63 - 44,Northern Mystics,63,44,19,2,0,Sydney Olympic Park Sports Centre,
10,Sunday 26 May,Queensland Firebirds,62 - 65,Waikato Bay of Plenty Magic,62,65,3,0,2,Gold Coast Convention and Exhibition Centre,
10,Sunday 26 May,Central Pulse,53 - 52,West Coast Fever,53,52,1,2,0,"TSB Bank Arena, Wellington",
10,Monday 27 May,Canterbury Tactix,58 - 62,Adelaide Thunderbirds,58,62,4,0,2,"Lion Foundation Arena, Dunedin",
10,Monday 27 May,Melbourne Vixens,58 - 52,Southern Steel,58,52,6,2,0,"Hisense Arena, Melbourne",
11,Sunday 2 June,New South Wales Swifts,43 - 46,Adelaide Thunderbirds,43,46,3,0,2,"Allphones Arena, Sydney",
11,Sunday 2 June,Queensland Firebirds,47 - 53,Melbourne Vixens,47,53,6,0,2,Brisbane Convention and Exhibition Centre,
11,Sunday 2 June,Waikato Bay of Plenty Magic,58 - 52,Southern Steel,58,52,6,2,0,"Energy Events Centre, Rotorua",
11,Monday 3 June,Canterbury Tactix,45 - 62,Central Pulse,45,62,17,0,2,"CBS Canterbury Arena, Christchurch",
11,,,,,,,,,,,West Coast Fever
11,,,,,,,,,,,Northern Mystics
12,Saturday 8 June,Melbourne Vixens,39 - 48,New South Wales Swifts,39,48,9,0,2,"Hisense Arena, Melbourne",
12,Sunday 9 June,West Coast Fever,47 - 72,Queensland Firebirds,47,72,25,0,2,"Challenge Stadium, Perth",
12,Sunday 9 June,Southern Steel,79 - 62,Canterbury Tactix,79,62,17,2,0,"Lion Foundation Arena, Dunedin",
12,Monday 10 June,Northern Mystics,50 - 60,Waikato Bay of Plenty Magic,50,60,10,0,2,"Trusts Stadium, Auckland",
12,,,,,,,,,,,Adelaide Thunderbirds
12,,,,,,,,,,,Central Pulse
13,Sunday 16 June,Queensland Firebirds,52 - 48,New South Wales Swifts,52,48,4,2,0,Brisbane Convention and Exhibition Centre,
13,Sunday 16 June,Adelaide Thunderbirds,64 - 48,Northern Mystics,64,48,16,2,0,"Netball SA Stadium, Adelaide",
13,Sunday 16 June,Waikato Bay of Plenty Magic,56 - 51,Melbourne Vixens,56,51,5,2,0,"Claudelands Arena, Hamilton",
13,Monday 17 June,Central Pulse,73 - 59,Canterbury Tactix,73,59,14,2,0,"Te Rauparaha Arena, Porirua",
13,Monday 17 June,West Coast Fever,68 - 56,Southern Steel,68,56,12,2,0,"Challenge Stadium, Perth",
14,Sunday 23 June,Melbourne Vixens,69 - 39,West Coast Fever,69,39,30,2,0,"Hisense Arena, Melbourne",
14,Sunday 23 June,Adelaide Thunderbirds,54 - 52,Queensland Firebirds,54,52,2,2,0,"Netball SA Stadium, Adelaide",
14,Sunday 23 June,Southern Steel,64 - 73,Central Pulse,64,73,9,0,2,"Stadium Southland Velodrome,Invercargill",
14,Monday 24 June,Waikato Bay of Plenty Magic,68 - 40,Northern Mystics,68,40,28,2,0,"ASB Baypark Arena, Tauranga",
14,Monday 24 June,New South Wales Swifts,62 - 42,Canterbury Tactix,62,42,20,2,0,Sydney Olympic Park Sports Centre,
15,Sunday 30 June,Adelaide Thunderbirds,49 - 39,Melbourne Vixens,49,39,10,2,0,"Netball SA Stadium, Adelaide",
15,Monday 1 July,Waikato Bay of Plenty Magic,50 - 53,Queensland Firebirds,50,53,3,0,2,"Claudelands Arena, Waikato",
16,Sunday 7 July,Melbourne Vixens,46 - 50,Queensland Firebirds,46,50,4,0,2,"State Netball Hockey Centre, Melbourne",
