Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Saturday 5 April,Central Pulse,33-50,Melbourne Vixens,33,50,17,0,2,"TSB Bank Arena, Wellington",
1,Sunday 6 April,Queensland Firebirds,48-46,West Coast Fever,48,46,2,2,0,Brisbane Convention & Exhibition Centre,
1,Sunday 6 April,Northern Mystics,44-48,Canterbury Tactix,44,48,4,0,2,"Trusts Stadium, Auckland",
1,Monday 7 April,Waikato Bay of Plenty Magic,46-42,Adelaide Thunderbirds,46,42,4,2,0,"Energy Events Centre, Rotorua",
1,Monday 7 April,New South Wales Swifts,53-42,Southern Steel,53,42,11,2,0,"Acer Arena, Sydney",
2,Saturday 12 April,Canterbury Tactix,50-44,New South Wales Swifts,50,44,6,2,0,"Westpac Centre, Christchurch",
2,Sunday 13 April,Melbourne Vixens,62-52,Queensland Firebirds,62,52,10,2,0,"State Netball and Hockey Centre,Melbourne",
2,Sunday 13 April,Waikato Bay of Plenty Magic,56-52,Northern Mystics,56,52,4,2,0,"Energy Events Centre, Rotorua",
2,Monday 14 April,Central Pulse,50-52,Southern Steel,50,52,2,0,2,"TSB Bank Arena, Wellington",
2,Monday 14 April,West Coast Fever,41-54,Adelaide Thunderbirds,41,54,13,0,2,"Challenge Stadium, Perth",
3,Saturday 19 April,Northern Mystics,45-49,West Coast Fever,45,49,4,0,2,"Trusts Stadium, Auckland",
3,Saturday 19 April,New South Wales Swifts,50-47,Waikato Bay of Plenty Magic,50,47,3,2,0,Newcastle Entertainment Centre,
3,Sunday 20 April,Melbourne Vixens,38-39,Adelaide Thunderbirds,38,39,1,0,2,"Vodafone Arena, Melbourne",
3,Monday 21 April,Canterbury Tactix,42-51,Southern Steel,42,51,9,0,2,"Westpac Arena, Christchurch",
3,Monday 21 April,Queensland Firebirds,56-28,Central Pulse,56,28,28,2,0,Brisbane Convention & Exhibition Centre,
4,Saturday 26 April,Waikato Bay of Plenty Magic,61-47,West Coast Fever,61,47,14,2,0,"Mystery Creek Events Centre,Hamilton",
4,Saturday 26 April,Queensland Firebirds,46-40,Northern Mystics,46,40,6,2,0,Brisbane Convention & Exhibition Centre,
4,Sunday 27 April,Adelaide Thunderbirds,54-41,Southern Steel,54,41,13,2,0,"ETSA Park, Adelaide",
4,Monday 28 April,Canterbury Tactix,50-58,Melbourne Vixens,50,58,8,0,2,"Westpac Arena, Christchurch",
4,Monday 28 April,New South Wales Swifts,59-30,Central Pulse,59,30,29,2,0,Sydney Olympic Park Sports Centre,
5,Saturday 3 May,Waikato Bay of Plenty Magic,54-37,Central Pulse,54,37,17,2,0,"Mystery Creek Events Centre,Hamilton",
5,Saturday 3 May,West Coast Fever,46-65,Queensland Firebirds,46,65,19,0,2,"Challenge Stadium, Perth",
5,Monday 5 May,Southern Steel,48-50,Northern Mystics,48,50,2,0,2,"Stadium Southland, Invercargill",
5,Monday 5 May,New South Wales Swifts,52-53,Melbourne Vixens,52,53,1,0,2,Newcastle Entertainment Centre,
5,,,,,,,,,,,Adelaide Thunderbirds
5,,,,,,,,,,,Canterbury Tactix
