Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
6,Saturday 10 May,Southern Steel,48-51,Canterbury Tactix,48,51,3,0,2,"Stadium Southland, Invercargill",
6,Saturday 10 May,Queensland Firebirds,66-52,New South Wales Swifts,66,52,14,2,0,Brisbane Convention & Exhibition Centre,
6,Monday 12 May,Northern Mystics,45-59,Waikato Bay of Plenty Magic,45,59,14,0,2,"Trusts Stadium, Auckland",
6,Monday 12 May,Adelaide Thunderbirds,66-50,West Coast Fever,66,50,16,2,0,"ETSA Park, Adelaide",
6,,,,,,,,,,,Melbourne Vixens
6,,,,,,,,,,,Central Pulse
7,Saturday 17 May,Central Pulse,50-55,Canterbury Tactix,50,55,5,0,2,"Arena Manawatu, Palmerston North",
7,Sunday 18 May,Adelaide Thunderbirds,46-52,Melbourne Vixens,46,52,6,0,2,"ETSA Park, Adelaide",
7,Monday 19 May,Waikato Bay of Plenty Magic,56-47,Southern Steel,56,47,9,2,0,"Mystery Creek Events Centre,Hamilton",
7,Monday 19 May,New South Wales Swifts,66-54,West Coast Fever,66,54,12,2,0,Sydney Olympic Park Sports Centre,
7,,,,,,,,,,,Queensland Firebirds
7,,,,,,,,,,,Northern Mystics
8,Saturday 24 May,Canterbury Tactix,50-54,Waikato Bay of Plenty Magic,50,54,4,0,2,"Westpac Arena, Christchurch",
8,Sunday 25 May,Queensland Firebirds,60-51,Melbourne Vixens,60,51,9,2,0,Brisbane Convention & Exhibition Centre,
8,Monday 26 May,Central Pulse,48-54,Northern Mystics,48,54,6,0,2,"TSB Bank Arena, Wellington",
8,Monday 26 May,Adelaide Thunderbirds,44-50,New South Wales Swifts,44,50,6,0,2,"ETSA Park, Adelaide",
8,,,,,,,,,,,West Coast Fever
8,,,,,,,,,,,Southern Steel
9,Saturday 31 May,Southern Steel,41-29,Central Pulse,41,29,12,2,0,"Stadium Southland, Invercargill",
9,Sunday 1 June,Melbourne Vixens,57-44,West Coast Fever,57,44,13,2,0,"State Netball and Hockey Centre,Melbourne",
9,Monday 2 June,Northern Mystics,50-46,Canterbury Tactix,50,46,4,2,0,"Trusts Stadium, Auckland",
9,Monday 2 June,Queensland Firebirds,41-47,Adelaide Thunderbirds,41,47,6,0,2,Brisbane Convention & Exhibition Centre,
9,,,,,,,,,,,New South Wales Swifts
9,,,,,,,,,,,Waikato Bay of Plenty Magic
10,Saturday 7 June,Southern Steel,47-46,Melbourne Vixens,47,46,1,2,0,"Stadium Southland, Invercargill",
10,Sunday 8 June,Adelaide Thunderbirds,61-41,Canterbury Tactix,61,41,20,2,0,"ETSA Park, Adelaide",
10,Sunday 8 June,Waikato Bay of Plenty Magic,56-50,Queensland Firebirds,56,50,6,2,0,"Energy Events Centre, Rotorua",
10,Monday 9 June,Northern Mystics,62-64,New South Wales Swifts,62,64,2,0,2,"Trusts Stadium, Auckland",
10,Monday 9 June,West Coast Fever,draw 33-16,Central Pulse,33,16,17,1,1,"Challenge Stadium, Perth",
11,Saturday 14 June,Northern Mystics,47-48,Adelaide Thunderbirds,47,48,1,0,2,"Trusts Stadium, Auckland",
11,Sunday 15 June,New South Wales Swifts,61-60,Queensland Firebirds,61,60,1,2,0,Sydney Olympic Park Sports Centre,
11,Sunday 15 June,Canterbury Tactix,50-49,Central Pulse,50,49,1,2,0,"Westpac Centre, Christchurch",
11,Monday 16 June,Southern Steel,58-43,West Coast Fever,58,43,15,2,0,"Edgar Centre, Dunedin",
11,Monday 16 June,Melbourne Vixens,47-40,Waikato Bay of Plenty Magic,47,40,7,2,0,"State Netball and Hockey Centre,Melbourne",
12,Saturday 21 June,Central Pulse,41-46,Waikato Bay of Plenty Magic,41,46,5,0,2,"TSB Bank Arena, Wellington",
12,Saturday 21 June,West Coast Fever,48-54,Melbourne Vixens,48,54,6,0,2,"Challenge Stadium, Perth",
12,Sunday 22 June,Queensland Firebirds,50-36,Canterbury Tactix,50,36,14,2,0,Brisbane Convention & Exhibition Centre,
12,Monday 23 June,Northern Mystics,47-41,Southern Steel,47,41,6,2,0,"North Shore Events Centre, Auckland",
12,Monday 23 June,New South Wales Swifts,51-41,Adelaide Thunderbirds,51,41,10,2,0,Sydney Olympic Park Sports Centre,
13,Saturday 28 June,Northern Mystics,42-28,Central Pulse,42,28,14,2,0,"North Shore Events Centre, Auckland",
13,Saturday 28 June,Adelaide Thunderbirds,66-47,Queensland Firebirds,66,47,19,2,0,"ETSA Park, Adelaide",
13,Sunday 29 June,West Coast Fever,50-44,Canterbury Tactix,50,44,6,2,0,"Challenge Stadium, Perth",
13,Monday 30 June,Southern Steel,47-43,Waikato Bay of Plenty Magic,47,43,4,2,0,"Stadium Southland, Invercargill",
13,Monday 30 June,Melbourne Vixens,49-62,New South Wales Swifts,49,62,13,0,2,"Vodafone Arena, Melbourne",
14,Saturday 5 July,Waikato Bay of Plenty Magic,69-44,Canterbury Tactix,69,44,25,2,0,"Mystery Creek Events Centre,Hamilton",
14,Sunday 6 July,Melbourne Vixens,56-47,Northern Mystics,56,47,9,2,0,"Vodafone Arena, Melbourne",
14,Sunday 6 July,Southern Steel,54-52,Queensland Firebirds,54,52,2,2,0,"Edgar Centre, Dunedin",
14,Monday 7 July,Central Pulse,32-44,Adelaide Thunderbirds,32,44,12,0,2,"Pettigrew Green Arena, Napier",
14,Monday 7 July,West Coast Fever,54-63,New South Wales Swifts,54,63,9,0,2,"Challenge Stadium, Perth",
15,Sunday 13 July,Waikato Bay of Plenty Magic,56-57,New South Wales Swifts,56,57,1,0,2,"Mystery Creek Events Centre,Hamilton",
15,Monday 14 July,Adelaide Thunderbirds,53-48,Melbourne Vixens,53,48,5,2,0,"ETSA Park, Adelaide",
16,Monday 21 July,Waikato Bay of Plenty Magic,51-49,Adelaide Thunderbirds,51,49,2,2,0,"Mystery Creek Events Centre,Hamilton",
17,Monday 28 July,New South Wales Swifts,65-56,Waikato Bay of Plenty Magic,65,56,9,2,0,"Acer Arena, Sydney",
