Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
5,Monday 30 April,Waikato Bay of Plenty Magic,61 - 52,Canterbury Tactix,61,52,9,2,0,"Energy Events Centre, Rotorua",
5,,,,,,,,,,,New South Wales Swifts
5,,,,,,,,,,,Southern Steel
6,Sunday 6 May,New South Wales Swifts,39 - 36,Central Pulse,39,36,3,2,0,"State Sports Centre, Sydney",
6,Sunday 6 May,Queensland Firebirds,56 - 43,Northern Mystics,56,43,13,2,0,Gold Coast Convention and Exhibition Centre,
6,Sunday 6 May,Waikato Bay of Plenty Magic,65 - 49,West Coast Fever,65,49,16,2,0,"TECT Arena, Tauranga",
6,Monday 7 May,Canterbury Tactix,41 - 65,Melbourne Vixens,41,65,24,0,2,"CBS Canterbury Arena, Christchurch",
6,Monday 7 May,Adelaide Thunderbirds,58 - 48,Southern Steel,58,48,10,2,0,"Netball SA Stadium, Adelaide",
7,Sunday 13 May,Adelaide Thunderbirds,60 - 43,West Coast Fever,60,43,17,2,0,"Netball SA Stadium, Adelaide",
7,Sunday 13 May,New South Wales Swifts,55 - 52,Melbourne Vixens,55,52,3,2,0,"Allphones Arena, Sydney",
7,Sunday 13 May,Southern Steel,45 - 49,Northern Mystics,45,49,4,0,2,"Lion Foundation Arena, Dunedin",
7,Monday 14 May,Central Pulse,46 - 56,Waikato Bay of Plenty Magic,46,56,10,0,2,"Te Rauparaha Arena, Porirua",
7,Monday 14 May,Queensland Firebirds,64 - 48,Canterbury Tactix,64,48,16,2,0,Brisbane Convention and Exhibition Centre,
8,Saturday 19 May,Canterbury Tactix,42 - 65,Waikato Bay of Plenty Magic,42,65,23,0,2,"CBS Canterbury Arena, Christchurch",
8,Sunday 20 May,Melbourne Vixens,45 - 49,Northern Mystics,45,49,4,0,2,"Hisense Arena, Melbourne",
8,Sunday 20 May,New South Wales Swifts,52 - 47,West Coast Fever,52,47,5,2,0,Newcastle Entertainment Centre,
8,Sunday 20 May,Southern Steel,60 - 61,Queensland Firebirds,60,61,1,0,2,"Stadium Southland Velodrome,Invercargill",
8,Monday 21 May,Central Pulse,47 - 46,Adelaide Thunderbirds,47,46,1,2,0,"TSB Bank Arena, Wellington",
9,Sunday 27 May,West Coast Fever,55 - 56,Queensland Firebirds,55,56,1,0,2,"Challenge Stadium, Perth",
9,Sunday 27 May,Melbourne Vixens,43 - 49,New South Wales Swifts,43,49,6,0,2,"Hisense Arena, Melbourne",
9,Sunday 27 May,Northern Mystics,57 - 56,Canterbury Tactix,57,56,1,2,0,"Trusts Stadium, Auckland",
9,Monday 28 May,Southern Steel,50 - 58,Central Pulse,50,58,8,0,2,"Lion Foundation Arena, Dunedin",
9,,,,,,,,,,,Adelaide Thunderbirds
9,,,,,,,,,,,Waikato Bay of Plenty Magic
10,Sunday 3 June,Queensland Firebirds,50 - 45,New South Wales Swifts,50,45,5,2,0,Brisbane Convention and Exhibition Centre,
10,Sunday 3 June,Melbourne Vixens,48 - 40,Adelaide Thunderbirds,48,40,8,2,0,"Hisense Arena, Melbourne",
10,Sunday 3 June,Canterbury Tactix,47 - 54,Central Pulse,47,54,7,0,2,"CBS Canterbury Arena, Christchurch",
10,Monday 4 June,Waikato Bay of Plenty Magic,66 - 47,Southern Steel,66,47,19,2,0,"Claudelands Arena, Hamilton",
10,,,,,,,,,,,West Coast Fever
10,,,,,,,,,,,Northern Mystics
11,Sunday 10 June,Adelaide Thunderbirds,54 - 49,Queensland Firebirds,54,49,5,2,0,"Netball SA Stadium, Adelaide",
11,Sunday 10 June,West Coast Fever,49 - 51,New South Wales Swifts,49,51,2,0,2,"Challenge Stadium, Perth",
11,Sunday 10 June,Waikato Bay of Plenty Magic,52 - 42,Central Pulse,52,42,10,2,0,"TECT Arena, Tauranga",
11,Monday 11 June,Northern Mystics,60 - 49,Southern Steel,60,49,11,2,0,"Trusts Stadium, Auckland",
11,,,,,,,,,,,Melbourne Vixens
11,,,,,,,,,,,Canterbury Tactix
12,Sunday 17 June,Melbourne Vixens,50 - 49,West Coast Fever,50,49,1,2,0,"Hisense Arena, Melbourne",
12,Sunday 17 June,New South Wales Swifts,35 - 62,Adelaide Thunderbirds,35,62,27,0,2,"State Sports Centre, Sydney",
12,Sunday 17 June,Northern Mystics,46 - 48,Waikato Bay of Plenty Magic,46,48,2,0,2,"Trusts Stadium, Auckland",
12,Monday 18 June,Southern Steel,61 - 62,Canterbury Tactix,61,62,1,0,2,Invercargill ILT Velodrome,
12,,,,,,,,,,,Queensland Firebirds
12,,,,,,,,,,,Central Pulse
13,Saturday 23 June,Waikato Bay of Plenty Magic,59 - 42,Adelaide Thunderbirds,59,42,17,2,0,"TECT Arena, Tauranga",
13,Sunday 24 June,New South Wales Swifts,55 - 42,Southern Steel,55,42,13,2,0,"State Sports Centre, Sydney",
13,Sunday 24 June,Queensland Firebirds,63 - 43,West Coast Fever,63,43,20,2,0,Brisbane Convention and Exhibition Centre,
13,Sunday 24 June,Canterbury Tactix,55 - 64,Northern Mystics,55,64,9,0,2,"CBS Canterbury Arena, Christchurch",
13,Monday 25 June,Central Pulse,41 - 49,Melbourne Vixens,41,49,8,0,2,"Te Rauparaha, Porirua",
14,Saturday 30 June,Southern Steel,38 - 56,Melbourne Vixens,38,56,18,0,2,Invercargill ILT Velodrome,
14,Sunday 1 July,Adelaide Thunderbirds,65 - 44,Canterbury Tactix,65,44,21,2,0,"Netball SA Stadium, Adelaide",
14,Sunday 1 July,West Coast Fever,40 - 38,Central Pulse,40,38,2,2,0,"Challenge Stadium, Perth",
14,Sunday 1 July,Northern Mystics,50 - 49,New South Wales Swifts,50,49,1,2,0,"Trusts Stadium, Auckland",
14,Monday 2 July,Waikato Bay of Plenty Magic,53 - 43,Queensland Firebirds,53,43,10,2,0,"Claudelands Arena, Hamilton",
15,Sunday 8 July,Melbourne Vixens,56 - 50,Northern Mystics,56,50,6,2,0,"Rod Laver Arena, Melbourne",
15,Monday 9 July,Waikato Bay of Plenty Magic,49 - 48,Adelaide Thunderbirds,49,48,1,2,0,"Claudelands Arena, Hamilton",
16,Monday 16 July,Northern Mystics,48 - 57,Waikato Bay of Plenty Magic,48,57,9,0,2,"Trusts Stadium, Auckland",
17,Sunday 22 July,Melbourne Vixens,38 - 41,Waikato Bay of Plenty Magic,38,41,3,0,2,"Hisense Arena, Melbourne",
