Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Saturday 31 March,Adelaide Thunderbirds,57 - 40,New South Wales Swifts,57,40,17,2,0,"Netball SA Stadium, Adelaide",
1,Sunday 1 April,Queensland Firebirds,42 - 47,Melbourne Vixens,42,47,5,0,2,Brisbane Convention and Exhibition Centre,
1,Sunday 1 April,Northern Mystics,51 - 47,Central Pulse,51,47,4,2,0,"Trusts Stadium, Auckland",
1,Monday 2 April,Southern Steel,49 - 47,Waikato Bay of Plenty Magic,49,47,2,2,0,"Stadium Southland Velodrome,Invercargill",
1,Monday 2 April,West Coast Fever,55 - 35,Canterbury Tactix,55,35,20,2,0,"Challenge Stadium, Perth",
2,Saturday 7 April,Central Pulse,47 - 42,Southern Steel,47,42,5,2,0,"Pettigrew Green Arena, Napier",
2,Sunday 8 April,Queensland Firebirds,44 - 54,Adelaide Thunderbirds,44,54,10,0,2,Brisbane Convention and Exhibition Centre,
2,Sunday 8 April,West Coast Fever,41 - 50,Melbourne Vixens,41,50,9,0,2,"Challenge Stadium, Perth",
2,Sunday 8 April,Waikato Bay of Plenty Magic,41 - 47,Northern Mystics,41,47,6,0,2,"Claudelands Arena, Hamilton",
2,Monday 9 April,Canterbury Tactix,54 - 51,New South Wales Swifts,54,51,3,2,0,"CBS Canterbury Arena, Christchurch",
3,Sunday 15 April,Queensland Firebirds,58 - 32,Central Pulse,58,32,26,2,0,Brisbane Convention and Exhibition Centre,
3,Sunday 15 April,Adelaide Thunderbirds,34 - 48,Melbourne Vixens,34,48,14,0,2,"Netball SA Stadium, Adelaide",
3,Sunday 15 April,Canterbury Tactix,53 - 55,Southern Steel,53,55,2,0,2,"CBS Canterbury Arena, Christchurch",
3,Monday 16 April,Northern Mystics,52 - 45,West Coast Fever,52,45,7,2,0,"Trusts Stadium, Auckland",
3,Monday 16 April,New South Wales Swifts,49 - 47,Waikato Bay of Plenty Magic,49,47,2,2,0,"State Sports Centre, Sydney",
4,Saturday 21 April,Southern Steel,53 - 56,West Coast Fever,53,56,3,0,2,"Lion Foundation Arena, Dunedin",
4,Sunday 22 April,Melbourne Vixens,40 - 39,Waikato Bay of Plenty Magic,40,39,1,2,0,"Hisense Arena, Melbourne",
4,Sunday 22 April,New South Wales Swifts,54 - 49,Queensland Firebirds,54,49,5,2,0,"State Sports Centre, Sydney",
4,Sunday 22 April,Northern Mystics,48 - 50,Adelaide Thunderbirds,48,50,2,0,2,"Trusts Stadium, Auckland",
4,Monday 23 April,Central Pulse,50 - 45,Canterbury Tactix,50,45,5,2,0,"Te Rauparaha Arena, Porirua",
5,Sunday 29 April,West Coast Fever,36 - 48,Adelaide Thunderbirds,36,48,12,0,2,"Challenge Stadium, Perth",
5,Sunday 29 April,Melbourne Vixens,52 - 51,Queensland Firebirds,52,51,1,2,0,"Hisense Arena, Melbourne",
5,Sunday 29 April,Central Pulse,47 - 51,Northern Mystics,47,51,4,0,2,"Arena Manawatu, Palmerston North",
