Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Sunday 13 February,New South Wales Swifts,60 - 40,Adelaide Thunderbirds,60,40,20,2,0,"State Sports Centre, Sydney",
1,Monday 14 February,Northern Mystics,51 - 34,Southern Steel,51,34,17,2,0,"Trusts Stadium, Auckland",
2,Saturday 19 February,Central Pulse,44 - 54,Northern Mystics,44,54,10,0,2,"Te Rauparaha Arena, Porirua",
2,Sunday 20 February,Adelaide Thunderbirds,47 - 65,Melbourne Vixens,47,65,18,0,2,"ETSA Park, Adelaide",
2,Sunday 20 February,Waikato Bay of Plenty Magic,51 - 36,Southern Steel,51,36,15,2,0,"Energy Events Centre, Rotorua",
2,Monday 21 February,Canterbury Tactix,48 - 54,West Coast Fever,48,54,6,0,2,"CBS Canterbury Arena, Christchurch",
2,Monday 21 February,Queensland Firebirds,51 - 48,New South Wales Swifts,51,48,3,2,0,Brisbane Convention and Exhibition Centre,
3,Thursday 24 February,Northern Mystics,39 - 45,Waikato Bay of Plenty Magic,39,45,6,0,2,"Trusts Stadium, Auckland",
3,Thursday 24 February,West Coast Fever,53 - 72,Adelaide Thunderbirds,53,72,19,0,2,"Challenge Stadium, Perth",
3,Saturday 26 February,Central Pulse,43 - 45,Southern Steel,43,45,2,0,2,"Te Rauparaha Arena, Porirua",
3,Saturday 26 February,Queensland Firebirds,64 - 41,Adelaide Thunderbirds,64,41,23,2,0,Brisbane Convention and Exhibition Centre,
3,Sunday 27 February,New South Wales Swifts,45 - 49,Melbourne Vixens,45,49,4,0,2,"State Sports Centre, Sydney",
3,Thursday 7 April,Canterbury Tactix,45 - 58,Northern Mystics,45,58,13,0,2,"Vector Arena, Auckland",
3,Monday 28 February,Central Pulse,44 - 46,Waikato Bay of Plenty Magic,44,46,2,0,2,"TSB Bank Arena, Wellington",
3,Monday 28 February,West Coast Fever,38 - 62,Queensland Firebirds,38,62,24,0,2,"Challenge Stadium, Perth",
4,Saturday 5 March,Adelaide Thunderbirds,51 - 41,Central Pulse,51,41,10,2,0,"ETSA Park, Adelaide",
4,Sunday 6 March,Queensland Firebirds,51 - 36,Southern Steel,51,36,15,2,0,Brisbane Convention and Exhibition Centre,
4,Sunday 6 March,Northern Mystics,56 - 54,Melbourne Vixens,56,54,2,2,0,"Trusts Stadium, Auckland",
4,Monday 7 March,Canterbury Tactix,56 - 63,Waikato Bay of Plenty Magic,56,63,7,0,2,"Energy Events Centre, Rotorua*",
4,Monday 7 March,New South Wales Swifts,55 - 51,West Coast Fever,55,51,4,2,0,"State Sports Centre, Sydney",
5,Saturday 12 March,Melbourne Vixens,70 - 39,West Coast Fever,70,39,31,2,0,"State Netball and Hockey Centre,Melbourne",
5,Sunday 13 March,Adelaide Thunderbirds,42 - 64,Queensland Firebirds,42,64,22,0,2,"ETSA Park, Adelaide",
5,Sunday 13 March,Waikato Bay of Plenty Magic,46 - 47,Northern Mystics,46,47,1,0,2,"Mystery Creek Events Centre, Hamilton",
5,Monday 14 March,Southern Steel,50 - 44,Central Pulse,50,44,6,2,0,Invercargill ILT Velodrome,
5,Monday 14 March,New South Wales Swifts,54 - 45,Canterbury Tactix,54,45,9,2,0,"State Sports Centre, Sydney",
6,Thursday 17 March,West Coast Fever,49 - 70,New South Wales Swifts,49,70,21,0,2,"Challenge Stadium, Perth",
6,Saturday 19 March,West Coast Fever,50 - 47,Southern Steel,50,47,3,2,0,"Challenge Stadium, Perth",
6,Sunday 20 March,New South Wales Swifts,53 - 57,Queensland Firebirds,53,57,4,0,2,"State Sports Centre, Sydney",
6,Sunday 20 March,Central Pulse,46 - 43,Canterbury Tactix,46,43,3,2,0,"Arena Manawatu, Palmerston North",
