Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
6,Monday 21 March,Waikato Bay of Plenty Magic,53 - 41,Melbourne Vixens,53,41,12,2,0,"Mystery Creek Events Centre, Hamilton",
6,Monday 21 March,Adelaide Thunderbirds,57 - 55,Northern Mystics,57,55,2,2,0,"ETSA Park, Adelaide",
7,Saturday 26 March,Northern Mystics,52 - 61,Queensland Firebirds,52,61,9,0,2,"Trusts Stadium, Auckland",
7,Sunday 27 March,Melbourne Vixens,65 - 50,Canterbury Tactix,65,50,15,2,0,"Hisense Arena, Melbourne",
7,Sunday 27 March,Central Pulse,43 - 48,New South Wales Swifts,43,48,5,0,2,"TSB Bank Arena, Wellington",
7,Monday 28 March,Southern Steel,52 - 48,Adelaide Thunderbirds,52,48,4,2,0,Invercargill ILT Velodrome,
7,Monday 28 March,West Coast Fever,41 - 42,Waikato Bay of Plenty Magic,41,42,1,0,2,"Challenge Stadium, Perth",
8,Thursday 31 March,Canterbury Tactix,49 - 44,Southern Steel,49,44,5,2,0,"CBS Canterbury Arena, Christchurch",
8,Thursday 31 March,Melbourne Vixens,42 - 52,Queensland Firebirds,42,52,10,0,2,"State Netball and Hockey Centre,Melbourne",
8,Saturday 2 April,Northern Mystics,61 - 48,Central Pulse,61,48,13,2,0,"Trusts Stadium, Auckland",
8,Sunday 3 April,Melbourne Vixens,42 - 33,Southern Steel,42,33,9,2,0,"Hisense Arena, Melbourne",
8,Sunday 3 April,Canterbury Tactix,56 - 59,Adelaide Thunderbirds,56,59,3,0,2,"CBS Canterbury Arena, Christchurch",
8,Monday 4 April,Central Pulse,63 - 61,West Coast Fever,63,61,2,2,0,"Te Rauparaha Arena, Porirua",
8,Monday 4 April,Queensland Firebirds,53 - 49,Waikato Bay of Plenty Magic,53,49,4,2,0,Brisbane Convention and Exhibition Centre,
9,Saturday 9 April,Southern Steel,49 - 40,Canterbury Tactix,49,40,9,2,0,"Edgar Centre, Dunedin",
9,Sunday 10 April,Melbourne Vixens,55 - 53,Adelaide Thunderbirds,55,53,2,2,0,"Hisense Arena, Melbourne",
9,Sunday 10 April,Central Pulse,44 - 61,Queensland Firebirds,44,61,17,0,2,"Te Rauparaha Arena, Porirua",
9,Monday 11 April,Waikato Bay of Plenty Magic,46 - 53,New South Wales Swifts,46,53,7,0,2,"Queen Elizabeth Youth Centre, Tauranga",
9,Monday 11 April,West Coast Fever,54 - 56,Northern Mystics,54,56,2,0,2,"Challenge Stadium, Perth",
10,Thursday 14 April,Waikato Bay of Plenty Magic,53 - 49,Canterbury Tactix,53,49,4,2,0,"Energy Events Centre, Rotorua",
10,Thursday 14 April,Queensland Firebirds,57 - 36,Melbourne Vixens,57,36,21,2,0,Brisbane Convention and Exhibition Centre,
10,Saturday 16 April,Adelaide Thunderbirds,57 - 53,New South Wales Swifts,57,53,4,2,0,"ETSA Park, Adelaide",
10,Sunday 17 April,West Coast Fever,38 - 54,Melbourne Vixens,38,54,16,0,2,"Challenge Stadium, Perth",
10,Sunday 17 April,Southern Steel,33 - 38,Waikato Bay of Plenty Magic,33,38,5,0,2,Invercargill ILT Velodrome,
10,Monday 18 April,Canterbury Tactix,45 - 47,Central Pulse,45,47,2,0,2,"CBS Canterbury Arena, Christchurch",
10,Monday 18 April,New South Wales Swifts,53 - 46,Northern Mystics,53,46,7,2,0,"State Sports Centre, Sydney",
11,Thursday 21 April,Southern Steel,39 - 40,New South Wales Swifts,39,40,1,0,2,"Edgar Centre, Dunedin",
11,Saturday 23 April,Melbourne Vixens,58 - 42,Central Pulse,58,42,16,2,0,"Hisense Arena, Melbourne",
11,Sunday 24 April,Adelaide Thunderbirds,36 - 55,Waikato Bay of Plenty Magic,36,55,19,0,2,"ETSA Park, Adelaide",
11,Sunday 24 April,Northern Mystics,62 - 43,Canterbury Tactix,62,43,19,2,0,"Trusts Stadium, Auckland",
11,Monday 25 April,Queensland Firebirds,56 - 54,West Coast Fever,56,54,2,2,0,Brisbane Convention and Exhibition Centre,
12,Saturday 30 April,Canterbury Tactix,52 - 69,Queensland Firebirds,52,69,17,0,2,"CBS Canterbury Arena, Christchurch",
12,Sunday 1 May,Melbourne Vixens,33 - 45,New South Wales Swifts,33,45,12,0,2,"Hisense Arena, Melbourne",
12,Sunday 1 May,Southern Steel,35 - 47,Northern Mystics,35,47,12,0,2,Invercargill ILT Velodrome,
12,Monday 2 May,Waikato Bay of Plenty Magic,60 - 50,Central Pulse,60,50,10,2,0,Taupo Events Centre,
12,Monday 2 May,Adelaide Thunderbirds,59 - 64,West Coast Fever,59,64,5,0,2,"ETSA Park, Adelaide",
15,Monday 9 May,Queensland Firebirds,50 - 39,Waikato Bay of Plenty Magic,50,39,11,2,0,Gold Coast Convention and Exhibition Centre,
15,Sunday 8 May,New South Wales Swifts,44 - 49,Northern Mystics,44,49,5,0,2,"State Sports Centre, Sydney",
16,Sunday 15 May,Waikato Bay of Plenty Magic,42 - 43,Northern Mystics,42,43,1,0,2,"Mystery Creek Events Centre, Hamilton",
17,Sunday 22 May,Queensland Firebirds,57 - 44,Northern Mystics,57,44,13,2,0,Brisbane Convention & Exhibition Centre,
