Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
11,Monday 31 May,West Coast Fever,63 - 45,Central Pulse,63,45,18,2,0,"Challenge Stadium, Perth",
12,Saturday 5 June,Northern Mystics,62 - 53,West Coast Fever,62,53,9,2,0,"North Shore Events Centre, Auckland",
12,Saturday 5 June,Queensland Firebirds,52 - 42,Central Pulse,52,42,10,2,0,Brisbane Convention and Exhibition Centre,
12,Sunday 6 June,Melbourne Vixens,43 - 54,Adelaide Thunderbirds,43,54,11,0,2,"Hisense Arena, Melbourne",
12,Monday 7 June,Southern Steel,53 - 39,Canterbury Tactix,53,39,14,2,0,"Stadium Southland, Invercargill",
12,Monday 7 June,New South Wales Swifts,60 - 43,Waikato Bay of Plenty Magic,60,43,17,2,0,"State Sports Centre, Sydney",
13,Saturday 12 June,Central Pulse,52 - 58,Waikato Bay of Plenty Magic,52,58,6,0,2,"Pettigrew Green Arena, Napier",
13,Saturday 12 June,Melbourne Vixens,46 - 58,New South Wales Swifts,46,58,12,0,2,"Hisense Arena, Melbourne",
13,Sunday 13 June,Adelaide Thunderbirds,54 - 45,West Coast Fever,54,45,9,2,0,"Adelaide Arena, Adelaide",
13,Monday 14 June,Northern Mystics,43 - 50,Southern Steel,43,50,7,0,2,"Trusts Stadium, Auckland",
13,Monday 14 June,Queensland Firebirds,75 - 32,Canterbury Tactix,75,32,43,2,0,Brisbane Convention and Exhibition Centre,
14,Saturday 19 June,Waikato Bay of Plenty Magic,53 - 44,Adelaide Thunderbirds,53,44,9,2,0,"Energy Events Centre, Rotorua",
14,Sunday 20 June,West Coast Fever,67 - 59,Queensland Firebirds,67,59,8,2,0,"Challenge Stadium, Perth",
14,Sunday 20 June,Canterbury Tactix,47 - 58,Northern Mystics,47,58,11,0,2,"Westpac Arena, Christchurch",
14,Monday 21 June,Central Pulse,48 - 49,Melbourne Vixens,48,49,1,0,2,"Te Rauparaha Arena, Porirua",
14,Monday 21 June,New South Wales Swifts,55 - 38,Southern Steel,55,38,17,2,0,"State Sports Centre, Sydney",
15,Sunday 27 June,New South Wales Swifts,38 - 52,Adelaide Thunderbirds,38,52,14,0,2,"Acer Arena, Sydney",
15,Monday 28 June,Waikato Bay of Plenty Magic,50 - 42,Southern Steel,50,42,8,2,0,"Vector Arena, Auckland""",
16,Sunday 4 July,New South Wales Swifts,49 - 54,Waikato Bay of Plenty Magic,49,54,5,0,2,Newcastle Entertainment Centre,
17,Sunday 11 July,Adelaide Thunderbirds,52 - 42,Waikato Bay of Plenty Magic,52,42,10,2,0,Adelaide Entertainment Centre,
